id,rating,tags
136643,1100,constructive algorithms|math
136640,800,greedy|math
136575,3500,bitmasks|constructive algorithms|dp|number theory
136572,3500,binary search|data structures
136569,3000,combinatorics|dfs and similar|dp|math|trees
136566,2400,dfs and similar|dsu|graphs|greedy|sortings|trees
136563,1900,brute force|data structures|implementation|sortings
136560,1600,binary search|constructive algorithms|greedy|implementation
136492,2300,binary search|data structures|dfs and similar|divide and conquer|dsu|greedy|trees
136491,2400,brute force|constructive algorithms|data structures|dp|greedy|math|number theory|two pointers
136490,1700,binary search|brute force|constructive algorithms|greedy|number theory
136486,1400,dp|flows|greedy|implementation
136483,1100,dp|greedy|math
136480,800,constructive algorithms|greedy|strings
136415,2900,bitmasks|constructive algorithms|interactive|probabilities
136412,2300,binary search|bitmasks|brute force|combinatorics|data structures|greedy
136409,1800,combinatorics|constructive algorithms|greedy|math|sortings
136406,1400,brute force|implementation
136403,900,constructive algorithms|greedy|implementation
136400,800,greedy|sortings
136258,1600,bitmasks|brute force|dp|greedy|math
136255,1300,binary search|data structures|dp|greedy|sortings
136252,1200,implementation
136249,1100,brute force|data structures|strings
136246,800,brute force|implementation|strings
136243,800,data structures|implementation
136240,800,brute force|implementation|strings
136180,2000,data structures|dfs and similar|trees
136179,1900,dfs and similar|trees
136175,1700,constructive algorithms|data structures|greedy|math|number theory
136172,1600,dfs and similar|dsu|graphs
136169,1000,greedy
136166,1100,data structures|greedy
136163,800,greedy
136160,800,constructive algorithms
136095,2500,combinatorics|data structures|implementation|math|matrices
136092,2500,brute force|dp|greedy|strings
136089,1900,binary search|data structures|greedy|math|sortings|two pointers
136086,1400,binary search|greedy|implementation|two pointers
136083,800,greedy
136080,800,implementation
136015,2600,constructive algorithms|dp|greedy
136012,2600,brute force|constructive algorithms
136009,1900,binary search|dp|greedy|math
136006,1700,constructive algorithms|data structures|greedy
136003,1100,constructive algorithms|implementation|math
136000,800,constructive algorithms|greedy|math
135932,2600,data structures|dp|greedy|math|number theory|two pointers
135929,2300,data structures|dp|greedy
135926,1700,combinatorics|constructive algorithms|math
135923,900,bitmasks|constructive algorithms|matrices
135920,800,constructive algorithms|math
135858,2900,bitmasks|math|matrices|meet-in-the-middle|number theory
135855,2800,constructive algorithms|graphs|implementation|math
135852,2300,brute force|combinatorics|greedy|sortings|trees|two pointers
135849,1600,binary search|constructive algorithms|interactive
135846,1300,brute force|data structures
135843,800,constructive algorithms|greedy|implementation
135840,800,bitmasks|brute force
135775,2800,2-sat|constructive algorithms|graphs|implementation
135772,2400,brute force|combinatorics|constructive algorithms|dp|geometry|graphs|greedy|implementation|math
135769,1900,binary search|constructive algorithms|interactive
135766,1400,binary search|constructive algorithms|data structures|greedy|implementation|strings|two pointers
135763,900,greedy|sortings
135760,800,greedy|implementation
135701,3500,brute force|combinatorics|dp|greedy|implementation|math|two pointers
135698,3300,brute force|data structures|geometry|math
135695,2600,brute force|constructive algorithms|dfs and similar|dsu|graphs|trees
135692,2000,combinatorics|math
135689,1900,binary search|constructive algorithms|data structures|divide and conquer|greedy|shortest paths
135686,1400,constructive algorithms|greedy|implementation|math
135683,900,greedy
135680,800,bitmasks|greedy
135612,2700,constructive algorithms|dfs and similar|graphs
135611,2300,constructive algorithms|dfs and similar|dp|greedy|trees
135610,2200,brute force|constructive algorithms|dfs and similar|dp|greedy|trees
135606,1700,brute force|data structures|dp|graphs|greedy|shortest paths
135603,1000,games|greedy
135600,800,games
135523,1200,constructive algorithms|greedy
135520,800,greedy|implementation
135455,3400,binary search|greedy|two pointers
135452,3400,data structures|greedy
135449,2800,brute force|data structures|divide and conquer|dp|greedy
135446,2300,graphs|greedy|shortest paths
135443,1700,dfs and similar|dp|greedy|trees
135440,1300,greedy
135381,1700,data structures|dp|greedy|math
135378,1400,data structures|dp|sortings|two pointers
135375,1300,brute force|math
135372,1200,binary search|implementation|two pointers
135369,1100,brute force|implementation
135366,800,implementation
135363,800,greedy|sortings
135360,800,implementation
135295,2500,combinatorics|dfs and similar|dp|math|trees
135292,2300,data structures|dfs and similar|dsu|graphs|greedy|sortings
135289,1800,binary search|constructive algorithms|data structures|divide and conquer|implementation|two pointers
135286,1400,brute force|constructive algorithms|greedy|math|strings
135283,1000,constructive algorithms|greedy|implementation|two pointers
135280,800,brute force|greedy|math
135218,2000,binary search|data structures|greedy|sortings
135215,1700,graphs|math|number theory|strings
135212,1500,binary search|greedy|math|two pointers
135209,1000,implementation|two pointers
135206,800,data structures|greedy|implementation
135203,800,greedy|implementation
