ID,contestId,index,name,rating
135295,1691,F,K-Set Tree,2500
135292,1691,E,Number of Groups,2300
135289,1691,D,Max GEQ Sum,1800
135286,1691,C,Sum of Substrings,1400
135283,1691,B,Shoe Shuffling,1000
135280,1691,A,Beat The Odds,800
135218,1690,G,Count the Trains,2000
135215,1690,F,Shifting String,1700
135212,1690,E,Price Maximization,1500
135209,1690,D,Black and White Stripe,1000
135206,1690,C,Restoring the Duration of Tasks,800
135203,1690,B,Array Decrements,800
135200,1690,A,Print a Pedestal (Codeforces logo?),800
135046,1688,C,Manipulating History,1700
135043,1688,B,Patchouli's Magical Talisman,800
135040,1688,A,Cirno's Perfect Bitmasks Classroom,800
134975,1687,F,Koishi's Unconscious Permutation,3500
134972,1687,E,Become Big For Me,3500
134969,1687,D,Cute number,2900
134966,1687,C,Sanae and Giant Robot,2500
134963,1687,B,Railway System,1700
134960,1687,A,The Enchanted Forest,1600
134883,1686,B,Odd Subarrays,800
134880,1686,A,Everything Everywhere All But One,800
134812,1685,E,The Ultimate LIS Problem,3500
134811,1685,D2,Permutation Weight (Hard Version),3500
134810,1685,D1,Permutation Weight (Easy Version),2800
134806,1685,C,Bring Balance,2600
134803,1685,B,Linguistics,2000
134800,1685,A,Circular Local MiniMax,1100
134741,1684,H,Hard Cut,3400
134738,1684,G,Euclid Guess,2800
134735,1684,F,Diverse Segments,2600
134732,1684,E,MEX vs DIFF,2100
134729,1684,D,Traps,1700
134726,1684,C,Column Swapping,1400
134723,1684,B,Z mod X = C,800
134720,1684,A,Digit Minimization,800
134575,1682,F,MCMF?,2700
134572,1682,E,Unordered Swaps,2700
134569,1682,D,Circular Spanning Tree,2000
134566,1682,C,LIS or Reverse LIS?,1400
134563,1682,B,AND Sorting,1100
134560,1682,A,Palindromic Indices,800
134495,1681,F,Unique Occurrences,2300
134492,1681,E,Labyrinth Adventures,2600
134489,1681,D,Required Length,1700
134486,1681,C,Double Sort,1200
134483,1681,B,Card Trick,800
134480,1681,A,Game with Cards,800
134415,1680,F,Lenient Vertex Cover,2600
134412,1680,E,Moving Chips,2000
134409,1680,D,Dog Walking,2400
134406,1680,C,Binary String,1600
134403,1680,B,Robots,800
134400,1680,A,Minimums and Maximums,800
134335,1679,F,Formalism for Formalism,2600
134332,1679,E,Typical Party in Dorm,2400
134329,1679,D,Toss a Coin to Your Graph...,1900
134326,1679,C,Rooks Defenders,1400
134323,1679,B,Stone Age Problem,1200
134320,1679,A,AvtoBus,900
134245,1678,B2,Tokitsukaze and Good 01-String (hard version),1800
134244,1678,B1,Tokitsukaze and Good 01-String (easy version),800
134240,1678,A,Tokitsukaze and All Zero Sequence,800
134175,1677,F,Tokitsukaze and Gems,3500
134172,1677,E,Tokitsukaze and Beautiful Subsegments,2900
134169,1677,D,Tokitsukaze and Permutations,2500
134166,1677,C,Tokitsukaze and Two Colorful Tapes,1900
134163,1677,B,Tokitsukaze and Meeting,1700
134160,1677,A,Tokitsukaze and Strange Inequality,1600
134103,1676,H2,Maximum Crossings (Hard Version),1500
